"poly-component__picture src","poly-component__title","poly-component__title href","andes-money-amount__fraction","andes-money-amount__currency-symbol 2","andes-money-amount__fraction 2","andes-money-amount__discount","poly-price__installments","andes-money-amount__currency-symbol 3","andes-money-amount__fraction 3"
"https://http2.mlstatic.com/D_Q_NP_2X_757618-MLC86558890301_062025-P.webp","Tazón Coca-cola Personalizado Con Nombre Rojo","https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=fwRL4v169WD8avRGKI%2B6%2FJr8eo%2FwL6dFUb8oB7%2FjERzC09GfKuReyDDQKaJcYMwrX8XOxxcCAjzqxPrgdXjLcj1JarEmw3mUioTosdy1nGFR48HqYS79t1R3H6bJ9hIp48GylFeQQClLFi4jSziaq3FDfHePum%2FOKcyAJDAy2G%2BZMw82tcJr8HVIrxjTuPCGp36ZdaFiC4whrsSLVeWcu5wmub3Z0KMnA8WJW8ofRqNQiDa86%2BrBq7AO4tU50WlP8sQLsEF6lFVTIkrejC%2BrOOjhgbuzdxzigyK2qD%2Bsm5y7cAFnnFCriSR4a3JMhmcq9oSqxzEL%2BLn8TiwYgJjWVS7UIrjZIgGMvAJAq5rJE3qe72VfHhmToGNx%2FxUdIknNgpinYC5CHvK2LDAab8T2gwlxasr7G2ImG0gUkRGote%2FZIvzc%2BYG4L%2FBNOLk0kxW%2Bba9jvkf6nXiyuWICjIalj%2F155AMbHa1zfvKJlzUS%2BQJoqsBs5TopB5FGk2xks4d2FxViMqYXAGN%2BHINmgNFgHuYYNb1RQd8KyyZC8FwOPEKwjtJzQ65z5XslwePHs5hM8MWNC6Bp%2FF%2F50lDFFcwA9Pwnz76Nv9wKqbIZW4zvwF%2FugtkXUQ4G4beDpTUg76Hg6PCJWS%2FiztWllLlvFPAHl%2BifGIbaWyLtY4%2FlA2xh2kGsbOxBLT1MV8rLZEh2OQF1RiAEWf9FO14RevZTt5ZnL7qW4XIsgqN%2F0DQSc4E4m8HA7YbizTQ4D1Mndidsa0yAn6GFXiQiK%2F3F0lDNOSy5Llm%2BX7%2FxZp6aCFy6w4A46%2FTH9O3asWvjSXSHH6i72I4HvU70JiXKy%2FdM4abWHWaMlMMCDWjU7Qx289c7%2FXzqrZoM9jmrxaZTarFFvAYtPLJYe0%2BPiMQqyLHY5csMMqX%2F9%2F5d2Itg8dLl29pV1d29YYEvyVTXcn7AKasEnwD1U%2BVIcWGsqQ%3D%3D&catalog_product_id=MLCU3249445701&zip_code=CL-RM_TUxDQ1NBTjk4M2M","6.990","$","6.640","5% OFF","","",""
"https://http2.mlstatic.com/D_Q_NP_2X_791598-MLC107265358064_032026-P.webp","Tazón Taza Personalizada Stitch Vol2. Azul Y Rosa","https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=sB8Jk%2B2qO7vOj8KIo%2BQGAVVntLfuk9VaTz3CFaVWhB6AqRr4BsgyZHKiz8Gsd1zU9VfSDU6m2DVaSxy0pNNQYh9vRL74lPq8spYIIFQ5d6ekuo4Jal3Gq%2BOfJeteTcFMCffAqvoUPwhgbCS8mFE7180stfLUcGL5vtkhpCcC3atBU9NYcMQp0LZQwyBMAfGnOIQO9LZ3clEG55xQlLMoDanV8ovlu6KBfffWOMYN1x4b3F%2Fbsk7JTshtkR3JeYmLOFsDu9ZnhhouHPtOxniRyaMGMbAxkXcJBRGCY5SL0k1KVpK4aq8svTZ1z%2BPqo5VXUxYTfY2%2FKGjan0lA4PrisOGnoLNy%2BHf555y2jI03coP0NPe4sOBXvMyvgAaUyyMhMEeO2jvpfwMnImlj65J2BKoTpWXM3mfurKlnxw8fJAXZg38qrrFZMTgAgb4%2BBC8KyhiBPsYmhNeKZxGWVe67YevnGA9OehUQZv23LuYh93CdGyb%2BdgBJuu2%2FWBKx8R%2B56%2FzYN5KxiwFHKqdWSMLfY81KcsVfck9srrb8jw0P7%2BzyxT8LkgH6%2BEojY9SXArLNBykSQaTysjfEmNXvafdfLdNUbGMfnHUnZ4S296x0LJe0aErNzkxevYa4NqYXNu3YZHqTgUk%2F47jdHmTGoXyMaGjnTMGuQlkDbTRlCMlZgXYFMlYq1jQkPyU5ENsgfzbmrpXIm0nIIWneM5WWyZb9l550Bwuuur2r5Qpxvw484KTJSxpLn1mYkbPoa4Ia%2FxuVorf9n70c0%2FjG7WzvV%2BKSUYWCj%2BAflSxDIcu03LjAVcmCd5jQJld6RE93yOJquwtmXPxZgt8nVyeP6UPzyEfuIgvDuiCnAAwmR2RmhhtHXXccG2cvsv5Gy9d4Qn75wE3o%2Fk0h3AeGrDiP2phWuAOuKe4QZsV%2FXSsqakdjU0p9Qx5%2FlLo8CjWhxQ9pf4HA2g3Auw%3D%3D&catalog_product_id=MLCU3815889663&zip_code=CL-RM_TUxDQ1NBTjk4M2M","4.590","","","","","",""
"https://http2.mlstatic.com/D_Q_NP_2X_659009-MLC75893547178_042024-P-taza-mug-termica-mascotas-personalizable.webp","Taza Mug Termica Mascotas Personalizable","https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=1SZPjQOgFSTKg%2FL2lvT%2BfqmuG4McXRLdK%2BMsMdW1N655CL84JZaqvAE7O0WKHAglVTmNfohAlc55yLNvd9wPqQwXR7YypgKJyI%2FvtxQ1yEbyl0L3R7FXgf%2BhOkX5Uf%2FQpGPg4ZGPhWOrxqTWVmfY3UOcQzviFDfm2WfR6A99DP%2B1eBxWaP4B1M%2FT6whDGMyoYj%2FBPulDWazk92RNILhRi9FbtIkyPN8lZn3%2BqAme3eiXg8ko%2BOsMsdPQO5fdMPxcVTwYVsWtuEl4R2CGfk%2F21FhgDSszPBMMqGZB87AB2gxvuam4sPucXOxrpjYNAxa9r5pMDphr7ItgHjzyWLXD8%2BnVHmnmFRvLE3u1EqZ2rcGRKj80rUG7h6iMbHcoqaEopcS38mM4XKZZnOEV4e2KutdKxhZ%2BZD%2FQUoGfEtrzhS2RmWhhmAHwvW2CDhD9DLnntOwl7HmY%2F03ElJC2rMf1kpSKNPc01t%2FvpvZDorITg2r1BZj5TAvHzM%2BuZVQQe5PsZosSjAGIrpLH7krpscUFnkwyuENwjAF1sb8qkNU7jcfD%2BKkxoA%2BOiQKpxJEGyXe83zpnIP6BoxRhQIOpKsxhk3ILsw1Hng42aaddi1yPYMfyWeD5NNHyF99aAg%2BG7vV0s8qGlV1VOLNyPZnY83gpKkLN8FIRAM0XNU5y5nvDFK1wyMkJhm8%2FSvqnP%2FBtKtc7kwyJyZqDavfbSa8NIDsOUWWi4gz1%2FENICulZ9OF8%2FoztI%2Fmc%2FN4yJ1dAt18cybs9MlZcZVO7O0YEKhWS%2BUPll1cFF2i8VMOSYyF5OaOtLPRMQoSZ6%2Bu7bh1cCkbv9LrRYWWuZE3H8pfDbMtfx%2BTSUEeR9BK4nie95ePnowUyjp019267BEO4VvRScXaNnZoXK%2ByZ5aUjYYIe52OhYqoX9smwRQ%3D%3D","14.990","$","1.249","","12 cuotas de  sin interés","",""
"https://http2.mlstatic.com/D_Q_NP_2X_757485-MLA108913071080_032026-P.webp","Taza Roblox Ceramica Man Face 325ml Gamer","https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=nx1UJd7wJ%2FfD5lnqDhbHNrDsX1X2hC4t8%2B8ldUl6Mpyb6uJbMvfF29c0zmN7ezHCxBWk4VC85MkphX8JJOHjeK27UkIuNi%2FatRXCGNa8T3iwrCInGW8IMVAv9Euz3PzO4SfQv7Ze4ooAOQMd3wTp2wrtOzrJsn89gDV5HyrDzRRQhrxKoepRGLBqxKCXMPAVZF%2FfllBOjkwm82qtPuSYlr8qc%2Fk4QG1e2dYTzVdcfdAqUszLqKpRzUnvhgEH%2BPqfa3Qfc849D4WcEcc9D%2BJ4Psb5mi2cdgvrdrtlC2Ss79mgcLP4j4vxpYeLSUiOc4GEpfcR4gKImwStF%2Fnf3Hd6btNP5DAxfdemzuMTLsdsNh17F2omUTYBJfbb3lPTE77586qg1brBNFwittKR0zYiXQqX6lUDKbeBOviA3QbcMKLcyblf8CzKIIkM3TLF%2BX5ZwzSZbhHAgWbnZs4qRSI%2BaSAgZnIFMfTr%2Bp0qC4l3riKbabMO9gEPe8nYMSKIUmH9jySFz4TpAuJQEResQQF78bD861a7BMYAH%2BHk4ns9z759kThJTiIWd22i%2BaNhsdkR1RSuRSMxTonAFXv%2FBxTvDu04O2%2FnsKO9SONglJM7lcrcHy2oSvJ6KY63cI5xlsM8tvDGnDBqfnaFnh%2BJsnKlmii87HS6L1UacoU8xyYqSe6afyOoPv2NuYvhIzWZfL9nUaZQ36bQthl2NwxZdbkuAmvJRqk3cuziraO2PjxoG3e%2BqKEIxzrhbpy5TAulaaORf8FKPjfoiH%2B3%2B2XCVnLrj8JCnY9AbgYsEXxmRIlt2d0AdMCv0iTihDVYZgrd2IjSAhyvDPnTsOpyuc%2BxF3TdnqKtiysBGWUMe%2BPP0qYcFjWEyRYO8bHI6zhBxPTzKPDw9e661Rc7WeQSw22JCZY%2BvS%2FHILbhkQc%2FUWG3Qz%2FB%2BFBhFJWRGx2Gfo8UlIvNm68Tee6524QeG1X6WN6U1vOQlFOsYEO1BxWdlxmcbjPTDGrRd9oWtlPG3nQ%3D&catalog_product_id=MLC46959012&zip_code=CL-RM_TUxDQ1NBTjk4M2M","2.790","","","","","",""
"https://http2.mlstatic.com/D_Q_NP_2X_658841-MLC107876624221_022026-P.webp","Taza Frase Motivadora Que Todo Bueno Te Siga Personalizada","https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=s6MAYjW2b0SSHMOZISzuqXvpJ0DMZSNM%2FNllOp5u4FcX64LJBk%2FquF2CkeLkgF0z408GWjEzTriZiQRMm04ofy4zTYTP%2B1TxGxiLgByGEtaEwBMIqcdJ2VFkZfA0TBXZ0KC5ZuzmA2P%2FPOLpywpMTxA%2FW7uuADRihTzSDFje8Xa9W5X2NFGBAGmAfj2u4Tx1DDZqSDSFZpumkY%2FE8z%2B8UVLQ8n8gE11mCMtELJqDNP5QCQ6l1h6vRrIu6Isadwx4Twh6K5fxi787z9ZmWJOqYX8KzOPfU3uA%2BJcbZs6BjW2aFBSKrVpSBHnkv08ujt5HVybG8TrYDyPCZbOkFilEs0umwTxv9m4EQsSmyozdjojth6tlAzWEpsBzYdbYi28C2XA47SoFgiL8lyYHah2d8e7h8FzfhdunapqpO7pIEndMp2QWFGB1m1%2B9wQfv59p7kQ%2BAeFOK8cGXJWZ6T0ZkFknhSE3IZ82Du2fqNpLqm%2Bz8WeqPo3HMlf6seTKv%2B%2B7o34WbVEkWcSbZkg9JQ%2FRg2KZpAtmENhCWphdoKnEvv5MvL%2FKUPnmZE9X0xK3toTshe31VbzcaIaaQqxk8TtHfprA%2FqWBB7YlJb6uCSqvTMm3uFUelZDSecJKawayRBmj554V6Vse%2FttoSVBkxUDEnc%2FrNBNWFcaPxkGA5iwuFthoWHD5Q3aQA0rq5OFaQDkAtkfA6Q4TvKe%2F1ff8Oq5ByCE9UYbEPH7RxwzsNJBBnIDJx4pSPT3VbbCljFGHpqIN2uDmXAHTeHwhAI9VXhSCyZaowgQ6SpZJ1keF4CilKCaPxOSMNK8FmPPDiZecX9itVRwQOF%2FJxK3SO753OXMaiZQ5kguTgjTSXWTdY%2B2a3MCrgKvbtPwJExO%2FNd72YvGbqaBAhmNo%2FkX%2BtWjMT67wECg%2F%2FURFKDGPvvKxP3t4UUD7HiKu8RBo2GpGPpNlO4EJoX6nD1OHMF8wkAksPyR%2FLgQ%3D%3D&catalog_product_id=MLCU13957387&zip_code=CL-RM_TUxDQ1NBTjk4M2M","5.990","","","","","",""
"https://http2.mlstatic.com/D_Q_NP_2X_783482-MLA105425489036_012026-P.webp","Tazón Taza Personaliza Diseños Medicamento / Calidad Premium Clonazepam","https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=LWe8XJoXNmN%2FH6XvtXCk6qboMp7dklAkXBHMVgNc0tCwHx5zreKNwdft4au6pvm0htNVH%2BsW%2BxR%2Bq4uLs26jMhSV8%2F6amnS62440EtYdpVMHhBayWXEO2ahC%2FuY9JH1kvZq3NwLXA2SSszWyDrQgDm6Q%2FY%2FwNr9vyb%2B7wOxrOrXfdLmTITUktcx7e5H0qT%2BulgoIXPrOYRts0xK1k8nTydHrmIC%2Fl8tBi%2Bx%2B8mQ2phNEdM1iFC9B%2Ft0J28OLva6%2BsDPbI6HA%2FcRcOBhPYNng%2BaQU%2FPSZx0yi1v8OkBapHd%2BLtzrC42bt3ju%2FJfZ14HalO480O0CJ46ewMiPnFZRA4ifxpN8%2F9%2B5Ni%2BPS1ltfswYv4ctotJLXtxHFYrh5m7JCx259QxNzRI8PdELE9d%2Bp6BNMUnkomMcPJCd8ynAUUGe5lPAQ58z%2BzgPMY8dk6cvajjjQvNhdjRlSvjYWSxYbGr7f3E%2B3%2Fs9hPW8bu06y7zbGx6KtsF59Sl75Z4pTuOlFMqa%2FnkC4v5MFBGp%2BEBWqZry42RZEAyOjgo8elMUwpBUe2yerphQEb7fx6TFcNSr6qzLymkmOQRs22Xy7OFxF9%2B76KC0rTLVuEx%2FJxW9GKjE1uNBj31xtqn%2FkXAjTY5CPdA5ydMVDT8oPCqNP0nEiXipDOT3KjQt6zg3RJfIFJ9bv%2FKdoNu9NzUw3YmU5zu7KljNpy9%2BXwQvx5%2FplZXm0Z57MgCGEhk2PyybNh9C93odGJbQcj0fScnv7KjA611W1wZmhEP7QFGrwUeiQtrP4kGKzvEk1M1c%2FfPiQ6H7XMaK3MNiIDA0xRvpXDG1clWp1UTMsjgQ%2F7aGKs7rbMBsjb7wl9PnmvyzgbR7Dl%2BSGnHrMD5zrPLyPC%2F1xQ0dKetMhsWgGjxxvBXC6zrXjD61chiEKWXhiWe5ju2tk1p%2Byc4Bmr%2Bp3tAStH6PRx5zZE%2Bn%2BGKACLk9sMnrZe0CWIT0xBIFlqqPDZy0%3D&catalog_product_id=MLCU3479072309&zip_code=CL-RM_TUxDQ1NBTjk4M2M","3.870","","","3% OFF","","$","3.990"
"https://http2.mlstatic.com/D_Q_NP_2X_736093-MLC82961496734_032025-P.webp","Pack Tazones Cloro Clorinda Y Jurel San José Multicolor","https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=iOxHA7kvLaLwWi5c693%2Bdg7mzW7vL3mEqhNubVjiLiCSSESeDMpXOnha3Y87vNoR%2FdbYCtvbtwczGwdOqDcfVpuLM4ztUR%2FtOIDui1Xa9B4pLiGs1ylU0zKpSD4SbLGChdw8tJylUCH87Gpg6uxAJLexm7XEX9qEsxue87bj14rI5CSZ3wlqNn5jzUFRJiBAotU0EPu2I6vZNznNrkwKbaFLidW%2ByhZbHCK%2FuY%2FTGfbUFrcsnuUDKTIpkKePdKDydFA1YQANgujEd5S524Oi69FBs26k1Nv2VzLcuUKAhB5K87EIk4FytAzth0O33Z5u8y5s7CXycxi3anEVQj30oB%2FHzn%2FZVYECxXt2B77GOjC5X3ppF5sDKAkmQCLqFGkfB7k9EEXbBx7%2FfuWgNf9mO8fMF0YutXgHkdRS3v4rqaexEdMnXDGJ04bo8T3RqK%2F2Vbsav%2FKAPZdsT442vrbIzTCyWJ%2BHoKiq%2BA3F2ctiWay0JhwIY01GAxvrqNHiZ3ZyawuxGRChpwxiaiffLjwk4xxuvyVhxvmUOiUiN60Nok1KLX4fbIYCcXx3ho8kLElY5HU%2BdskVHIQH26sgJ%2BEZCoX2I9g2ADqSyf%2F8k1YkEPVZnjsda2zFWqJjF8wCQC%2FNUscOCW0wutU7dk8QGGoGs48EAqqs0%2F3d6375Uwy6DF7XxPZycV2pGK8yoDAmYSeP8%2BX78NW2RkOb01px5ZE72u%2Boc4gvAsYB2O8gSnb5KOyMQzLOvh%2Bp%2BG0h0%2FesYQ0I7JjIk2WEikpYgDlja9hs4qQl%2FLsIaVl5THKEltWbD55KAPNz7KHrGfv2uqriti84lotkzsn%2FdOxkbDjKGW9wFE8dHZJldSGQGyEi31S%2BY6FXFEnC8%2B0J8MtD1EbWmdAFkCz8qHhENcmYyzSTcEDFRVPUp0CP2NF6p0nZKSlsjfKbsLRi9Nu1quC7AwheoFaA2zx99WBHXrI%3D&catalog_product_id=MLCU3080004165&zip_code=CL-RM_TUxDQ1NBTjk4M2M","11.390","$","949","5% OFF","12 cuotas de  sin interés","$","11.990"
"https://http2.mlstatic.com/D_Q_NP_2X_716555-MLC108822296254_032026-P.webp","Taza - Tazón De Ceramica Sarah Kay Rosa Claro","https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=arSTFw880DABIRgTjqsQvJDTVW8wxCKUxI0WVgsOKYjHjJjGBv5WMtJSeNVrLQjsW4c6mgJdlOb0RipnHzdlO%2BH1tvPUud9R0TgHGPDgmhpFgF%2Fw9ajTlCRZi9eJ65Ys0EzJ8uKJSTPcbue6ePZxQiSrIVASZ9Yqj9a1Um2HhUOJRdj%2FHK2igwfcZJ%2Fd36SSAoEeS6clxwgnMm0%2FAw6HohOpdLMeWMrAasIyuJj5ht%2BcMLzbdSl7XmBz70fQxDo0wzzhK%2F1ysOsnaTIXhA%2BiJgnQuMr0gOXz8NuwAYLoNEZUBv2SaQn7a5%2FrRueJwbPNhTCqlPmSZZvg0KNN3e4saitUVL5TPSW1Za50TyMtOgj%2F1wZ4MjS0XxbTm7VcT%2FR9EM0F6NToxWbAfSUzcMcUUnGSinLUjuPKA54OjHBJA%2BSd9CQ1dCAFx1V%2BOQmA2kEIa1MWkpveFpb7j0jlPu1t5OjTqOMuZL8ROWW1F5XWrJIrEk9p0kYnPcj7GhAhargI%2FFXNCsLWaVLBWQgYSE8JBeyS%2Bu1L8%2BGky%2FFauIBVDZPzqiKifaoxHTNcqG31rl3pUGXnKsYKF%2Fcz79qw9YOSepSPBt29GuAIfeSyIesVtItFQSUZyvQd4ysYxNvr3VDvr0Lgax6L1ps8DHU71His1LS8fx2wS2%2BEQI%2BcCm%2BnAgwc6ssN%2BydbeJp8DIabB41Dtp%2BhlYQm1zMJg410FFhKjFsz%2BMHChZSTcWRvHCaD9spGsmu9P7KoeRETGmB4IDZzJ98bErUjk82m%2BhqMK8VQ%2Bdrs23CTVsYmuRhj7OUWYNWsrspwCuujYvdORBKgTD4K%2BbAWXFCOuD961V3sjOzbV5MmYsCLYw09loAih%2B8BM7yz%2FOSbvyWKv%2FjOKAR%2F3oT8P6oI3idb8njR0Pn9ZcdPDPmS%2BvuNd1Ppf22FKg0LqxAzuW6D1f6k71Fldmu0Wg%3D%3D&catalog_product_id=MLCU3690407446&zip_code=CL-RM_TUxDQ1NBTjk4M2M","5.590","","","","","",""
"https://http2.mlstatic.com/D_Q_NP_2X_798983-MLC85299896868_062025-P.webp","Tazón Taza Cafe Mug Tipo Lente Camara Fotografica Aluminio Negro","https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=KZwVJvjFi57DsMSsHdUXNliZtFTAXp41wfJextN%2BF%2BesMBuQsYF2MFPoslWqE9sLxP6UCKlIhEH5K78EzxpXVQcBqypA%2BMoEj%2FcwrIwN6wOZUt4kCmH5wSqkU8arzaxTA%2FFF42YlABFVvIFs%2B4CrGmKgymZxW%2BpB82KyDS23n2Pv8o9e3tf5jnQ8psurnI3Vn6Ug0cgR1%2BVtoxUFxT3v73dGXFVR0s%2Bkrcme9%2F2ZMXHT5eoafPKwWjriEpUyokYOhQl6VMlbKp%2BufHm1%2Bw0avvwSfIw4mlOaZQvmYH2%2BgQ5Dy6tV9i%2FbDNzmW7wHhH4zm5kD3mFhtV1HBVwREBqX8SoCjOcEc0aPJndiLltIugy%2FrugheKLO4ugPhAZyNOt4rDekPxz1iTkqcZ%2BK6cOTzdt6dqemnNJy1vvyY%2FDnal0Q7rZiru7AZbbJChcdbAETyqEQPlxJzTnocx8G8Ms5YYSf13tTf9GZJShn2yj%2Buif7CM1D6rvVSbyXsrwxLtiD1o0f5TnIR8IDgcb7Si8SickRzQkT%2BBYsbBFyzgu8pOfgpo6RYrmxYFfG%2FGzKsE2pu0YazIUJpxSTUVC%2Fni30e1ya978pDaU6UdIy51%2F1LVGeBDCjbnKtmMVvWWffIpgj9G0xY2xO40svm6%2FsALpYI9RqDjGg55hG48cxS2ebllwY78JJj4YBYJCzx4m8BbkkqSZApQSHWzIc%2Fy7uPT3OEW9coEFdCOfEFFdPq3PXGsiK%2F3B%2BL5SQng7heQP7HjfCjV84yL2RlqDPMRUVYLQ%2BYtdfAPp6DFRtHxnucztXXmFaJiqjHSywMAe3llcwuBLpncu0xns%2F8SNqgYYa%2FncD1bhMfi68gC6XDskuElq5ChGp6dCsCDF2bxDCrbY0UvImJkZV7fqn4kfG8Bvloe7%2BUp8LxPUN%2FFFtfA%2BUgiMq8cpVsHFU%2BtJR%2Fe93Kn7JmAJ4b1WITBAhp%2FuBl62qNqY8nvInpGev0CM%3D&catalog_product_id=MLCU3215479657&zip_code=CL-RM_TUxDQ1NBTjk4M2M","5.220","","","10% OFF","","$","5.800"
"https://http2.mlstatic.com/D_Q_NP_2X_936673-MLA106021277685_012026-P.webp","Tazón Taza Personaliza Diseños Tendencias / Calidad Premium San Jose","https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=fVFflskZ82gc%2FQnMcO9uPseoCi3PzCytKwWS1Ls87petCP7h8WVrdDV9LsnkmAh5L0nJQR2NjQmLgMUORyGsL4O00PAMQSYXLLCs8PF3nhdwEpnXXAL3nTygDDFYPOYKMzeEBX1UcY4sI3dqjKYYhYuzXKZTu%2BcEbDZP03inswL3xA9kwBFHpbKu43af%2Bi53UrzZDDzlD3YtpltIF9bt8LGma1Zf3J6tuVXLT%2FdSMJs3d%2BxenIKiJ55JB1pVWxWBxUOfzApxXoi1PV8Xz51RiicdCeKgmQ%2ForZxpdIlqyi5YsRoIBUEkAVLbjjdyat3ELcCrrJ8pXM%2BxLpAhhik2nxx82Ztj4kxiLS2bsEFdc8gDSqjFWXLq093sX2s7vMfImsKamCwmVTm9%2FQEzLtStNXgi28dwf3x%2B5aUf%2BLRohmBmjYj4OC8gMDxhfJpffM76KbSNN7wAiGgTn7QJWUyWto6cEjNZHB7D7iNglmvqFwPxr7b7%2FXRrZbVxcnTNOhqhpzSqRVQffp6vN85ribJ8E5ptfxJhXoGcrI2OhvH%2FIGweMxBO4fyFCV0s6iLKcwtXH02A6WXucBmKrCkv%2BQ9mNwKGEQRo2Sl44zPVx22RcF1sHmq0DT2a312I4FIg5PkxMIwRGgktSK8o6GuK2FXLX2WzGGC3BSM8s2Qh9SPmspLIOhQqfqkLRj0BjVRt2s2LLBKiHnKSe6rHN2VcHkh%2BDMzgPQtYuZKffMhgnrNMXh97H0gy6a5RiYd1HVQjYbdTzF39DfRh0iA3j%2FpCbe%2Fh1Gw6V0K60YJ4JH8pFZbh5q7%2BSLxjVdSsgqiYXLy4%2FNtp%2BekYnkcIEYKac2sR0VnHYjNOrD9VEP4KhTH1szfTzA9vq%2F%2FrN3i02gZQP8Cndat27x0RQej9EYvT4EfZ4LHdhzYKSsHvToLJDUnNtnnmC78piUFITdO7Gb%2Bj%2BgeBLfvrL7aJ6NFsbe7%2BQINPMl8fK2VoW6zICKyITw%3D%3D&catalog_product_id=MLCU3486010758&zip_code=CL-RM_TUxDQ1NBTjk4M2M","4.597","","","7% OFF","","$","4.990"
